site,Spartina alterniflora (Smooth Cordgrass)_pct,Spartina alterniflora (Smooth Cordgrass)_conf,Juncus roemerianus (Black Needle Rush)_pct,Juncus roemerianus (Black Needle Rush)_conf,Bolboschoenus robustus (Salt Marsh Bulrush)_pct,Bolboschoenus robustus (Salt Marsh Bulrush)_conf,Iva frutescens (Marsh Elder)_pct,Iva frutescens (Marsh Elder)_conf,Panicum virgatum (Switch Grass)_pct,Panicum virgatum (Switch Grass)_conf,Spartina patens (Salt Meadow Hay)_pct,Spartina patens (Salt Meadow Hay)_conf,Spartina cynosuroides (Big Cordgrass)_pct,Spartina cynosuroides (Big Cordgrass)_conf,Borrichia frutescens (Sea Oxeye)_pct,Borrichia frutescens (Sea Oxeye)_conf,Salicornia spp. (Glasswort)_pct,Salicornia spp. (Glasswort)_conf,Kosteletzkya virginica (Marsh Mallow)_pct,Kosteletzkya virginica (Marsh Mallow)_conf,Hibiscus moscheutos (Marsh Hibiscus)_pct,Hibiscus moscheutos (Marsh Hibiscus)_conf,Solidago sempervirens (Seaside Goldenrod)_pct,Solidago sempervirens (Seaside Goldenrod)_conf,Distichlis spicata (Salt Grass)_pct,Distichlis spicata (Salt Grass)_conf,Limonium carolinianum (Sea Lavender)_pct,Limonium carolinianum (Sea Lavender)_conf,Symphyotrichum tenuifolium (Salt Marsh Aster)_pct,Symphyotrichum tenuifolium (Salt Marsh Aster)_conf,Atriplex patula (Marsh Orach)_pct,Atriplex patula (Marsh Orach)_conf,Phragmites australis (Phragmites or Reed Grass)_pct,Phragmites australis (Phragmites or Reed Grass)_conf,Baccharis halimifolia (Groundsel Tree)_pct,Baccharis halimifolia (Groundsel Tree)_conf,Dead Organic Matter_pct,Dead Organic Matter_conf,Bare Ground_pct,Bare Ground_conf,Oysters_ct,Oysters_conf,Mussels_ct,Mussels_conf,Crab Burrows_ct,Crab Burrows_conf,Periwinkles_ct,Periwinkles_conf,Total_Confidence,Notes
MM1_HIGH0_25MAY2022_cropped,65,80,0,95,0,95,0,95,0,80,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,5,65,30,85,0,90,2,60,2,60,6,70,75,"Dominated by tall, narrow, brown-green cordgrass clumps (interpreted as Spartina alterniflora) with exposed muddy/shelly bare ground between tussocks. A few small dark shell clusters (counted as mussels) and multiple periwinkle shells visible on mud. Moderate overall confidence due to similar-looking dead stems and limited view of basal stems."
MM1_HIGH0_25MAY2022_cropped,5,40,0,95,0,95,0,95,0,95,70,80,0,95,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,10,60,15,70,0,80,2,50,3,60,0,80,65,"Quadrat dominated by tussocks of brown, wiry salt hay (Spartina patens). Small amount of greener blades possibly S. alterniflora. Exposed muddy/gravel substrate between clumps. A couple of dark shell/mussel-like patches visible; several small burrow openings. Estimates conservative due to some occlusion by stems."
MM1_HIGH0_25MAY2022_cropped,0,80,0,90,0,90,0,90,0,90,75,75,0,90,0,95,0,95,0,95,0,95,0,95,0,85,0,95,0,95,0,95,0,95,0,95,5,60,20,70,0,80,2,60,3,60,4,50,65,"Image dominated by fine, wiry, golden-brown tussocks consistent with Spartina patens; exposed muddy/gravel patches visible in center/right. Small clusters of mussel-like shells and several small burrows/snail shells visible on mud. Estimates conservative due to overlapping stems and limited resolution."
CS02_LOW0_13MAY2022_cropped,70,75,0,90,0,90,0,90,0,90,0,70,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,15,70,15,65,0,95,0,95,0,95,1,40,60,"Image dominated by broad, flat green grass blades consistent with Spartina alterniflora. Some dead brown blades and visible dark mud openings (DOM and bare ground). Small snail-like object possibly one periwinkle (low confidence). Species-level ID limited by angle/blur."
CS02_LOW0_13MAY2022_cropped,75,70,0,90,0,90,0,90,0,90,0,80,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,15,60,10,65,0,95,0,95,1,50,0,60,65,"Dense clumped, wide flat blades dominate consistent with S. alterniflora. Dark mud and dried litter visible between clumps. No other species or shellfish clearly visible on exposed DOM; one possible crab burrow."
CS01_HIGH0_21JULY2022_red2_cropped,0,80,0,90,0,90,0,95,0,95,85,75,0,95,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,10,60,5,65,0,90,0,90,0,80,0,80,70,"Tussock-forming, fine, wiry, lighter-colored grass dominates consistent with Spartina patens; small areas of exposed dark soil and dried blades recorded as bare ground and dead organic matter. No visible oysters, mussels, periwinkles, or crab burrows on exposed surfaces."
CS03_HIGH0_13MAY2022_cropped,10,50,0,90,0,90,12,60,0,90,45,70,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,25,80,8,60,0,70,0,70,0,70,0,70,65,"Dominated by thin, wiry dead and live grass (Spartina patens). A small leafy shrub (likely Iva frutescens) on the right. Noticeable standing dead organic matter and small exposed mud patches. No visible oysters, mussels, periwinkles, or clear crab burrows."
CS03_HIGH0_13MAY2022_cropped,5,50,0,70,0,70,25,80,0,75,10,60,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,85,0,85,55,70,5,60,0,80,0,80,0,70,0,70,65,Dominant feature is standing dead grass/thatch (DOM). A cluster of live broad-leaved Iva frutescens on the right (~25%). Finer live grass (likely S. patens) present at low cover and a few green blades possibly S. alterniflora. Small exposed mud patches ~5%. No visible oysters/mussels/periwinkles/crab burrows.
CS02_LOW1_21JULY2022_cropped,0,85,0,90,0,90,0,90,0,90,75,70,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,95,0,95,0,80,25,70,0,85,0,85,0,80,0,85,70,"Quadrat dominated by thin, light-green, flattened grass blades consistent with Spartina patens (~75%). Exposed muddy substrate between shoots ~25%. No other species, shells, or obvious burrows visible in the red-outlined area."
CS01_HIGH0_21JULY2022_red2_context,70,70,0,90,0,90,0,95,0,90,18,55,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,7,80,5,75,0,95,0,95,1,60,0,90,65,"Large broad-bladed tussock (likely S. alterniflora) dominates the right and much of center. Finer, lighter grasses across left likely S. patens. Dark central area = dead organic material with small exposed mud. No visible oysters or mussels; one likely crab burrow."
CS01_HIGH0_21JULY2022_red2_context,67,70,0,80,0,80,0,80,0,80,20,50,0,80,0,90,0,90,0,90,0,90,0,90,0,80,0,90,0,90,0,90,0,90,0,90,8,60,5,60,0,70,0,70,0,70,0,70,65,Quadrat dominated by a large tussock of thick-bladed cordgrass (assigned to Spartina alterniflora) with surrounding finer grass mat (assigned to S. patens). Small central area of DOM and exposed mud. No visible shells or clear burrow openings on DOM/bare areas.
CS01_HIGH0_21JULY2022_red2_context,75,60,0,85,0,90,0,90,0,90,0,75,0,85,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,10,70,15,75,0,90,0,90,1,60,0,85,60,Image dominated by a single large tussock of cordgrass (assigned to S. alterniflora). Exposed dark center and surrounding mud accounted as bare ground and some dead material. Few clearly visible invertebrates; one possible crab burrow observed.
CS01_HIGH0_21JULY2022_red2_cropped,0,60,0,65,0,65,0,70,0,70,75,80,0,70,0,75,0,75,0,75,0,75,0,75,0,70,0,75,0,75,0,75,0,80,0,80,10,65,15,70,0,80,0,80,0,75,0,75,70,"Tussock-forming, thin wiry leaves consistent with Spartina patens covering most of the quadrat; small areas of exposed dark substrate/old litter counted as bare ground and dead organic matter. No oysters, mussels, periwinkles, or visible crab burrows on exposed substrate."
CS01_HIGH0_21JULY2022_red2_context,6,40,0,30,0,30,0,30,0,30,75,70,0,30,0,30,0,30,0,30,0,30,0,30,5,40,0,30,0,30,0,30,0,30,0,30,10,65,4,60,0,80,0,80,1,40,0,80,60,"Quadrat dominated by a thin, tufted saltmarsh grass (identified as Spartina patens). Central area shows exposed mud/DOM with one small burrow. Small uncertainty between S. patens and a few thin S. alterniflora stems at edges."
CS01_HIGH0_21JULY2022_red2_context,0,90,0,90,0,90,0,90,0,90,85,75,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,95,0,95,5,50,10,60,0,95,0,95,0,90,0,90,70,"Quadrat dominated by a large tussock and surrounding thin, wiry, light-green grasses consistent with Spartina patens (~85%). Small central exposed muddy area and some dead thatch (~10% bare ground, ~5% DOM). No visible oysters, mussels, periwinkle shells, or crab burrows in the square. Moderate confidence due to visual ambiguity between some similar thin-stem grasses."
CS01_HIGH0_21JULY2022_red2_context,0,50,0,80,0,80,0,80,0,80,75,60,0,80,0,90,0,90,0,90,0,90,0,90,0,80,0,90,0,90,0,90,0,90,0,90,15,70,10,80,0,90,0,90,0,90,0,90,60,"Quadrat dominated by a large tussock of thin, wiry grass consistent with Spartina patens; scattered dead leaf material and small exposed dark soil patches contribute to DOM and bare ground estimates. No obvious oysters, mussels, periwinkles, or burrows visible."
CS01_HIGH0_21JULY2022_red2_context,5,60,0,90,0,90,0,95,0,90,75,80,0,95,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,10,70,10,75,0,90,0,90,0,90,0,90,75,"Quadrat dominated by a tufted, thin-leaved grass consistent with Spartina patens (~75%). Central darker area shows exposed mud/DOM (~10%) plus some bare patches (~10%). A few blades possibly S. alterniflora at margins (low confidence). No visible oysters, mussels, periwinkles, or crab burrows."
CS01_HIGH0_21JULY2022_red2_context,0,40,0,90,0,90,0,90,0,90,80,75,0,90,0,95,0,95,0,95,0,95,0,95,0,60,0,95,0,95,0,95,0,95,0,95,10,60,10,70,0,95,0,95,0,95,0,95,75%,"Dominated by a single tussock of thin, wiry grass consistent with Spartina patens; some exposed mud/old dead material at the tussock base. No visible shells, mussels, periwinkles, or crab burrows in the quadrat."
CS01_HIGH0_21JULY2022_red2_context,0,85,0,85,0,90,0,90,0,90,70,80,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,15,60,15,70,0,90,0,90,0,90,0,90,70,"Dominant tussock-forming, thin fine-bladed grass (likely Spartina patens) occupying most of frame; central darker patches are mud/decaying material (DOM and bare ground). No visible oysters/mussels/periwinkle shells or obvious crab burrows."
MM2_LOW0_25MAY2022_context2,40,80,0,90,0,90,0,90,0,90,0,80,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,10,70,50,90,0,90,0,90,4,60,6,80,75,"Quadrat shows broad, upright grass clumps consistent with Spartina alterniflora (~40%), large areas of exposed mud (~50%) and scattered fibrous dead organic matter (~10%). Several periwinkle shells visible and a few crab burrow openings; no clear oysters or mussels identified."
MM2_LOW0_25MAY2022_context2,40,80,0,70,0,70,0,70,0,70,5,50,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,80,0,80,10,70,45,85,0,90,0,85,3,60,6,80,75,Quadrat dominated by live smooth cordgrass clumps and exposed muddy bare ground with some dark decomposed root mat (DOM). Several small periwinkle snails visible and a few probable crab burrow holes. Small amount of finer grass possibly S. patens.
MM2_LOW0_25MAY2022_cropped,45,70,0,90,0,90,0,90,0,90,10,50,0,90,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,30,60,15,60,0,90,0,80,8,60,7,70,65,Dominated by thicker green cordgrass (Spartina alterniflora) with some finer blades likely Spartina patens. Large areas of dark fibrous dead organic matter and exposed mud. Periwinkles and multiple small crab burrow openings visible; no clear mussel/oyster beds.
MM2_LOW0_25MAY2022_context,50,75,0,65,0,60,0,70,0,60,10,40,0,60,0,70,0,70,0,65,0,65,0,65,0,60,0,70,0,70,0,70,0,80,0,80,20,60,20,70,0,80,2,50,3,60,4,70,65,"Quadrat dominated by live smooth cordgrass (broad green blades) with some finer grass likely S. patens. ~40% open mud/DOM. A few mussel shells, periwinkles and small crab burrow features visible."
MM2_LOW0_25MAY2022_context2,45,70,0,90,0,90,0,90,0,90,5,40,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,10,60,40,80,0,60,0,60,2,50,6,70,65,Quadrat dominated by cordgrass (likely S. alterniflora) with abundant exposed mud. Small amount of thinner grass possibly S. patens. Several periwinkle snails visible; a couple probable crab burrow openings. No obvious oysters or mussels on surface.
MM2_LOW0_25MAY2022_cropped,55,80,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,25,70,20,85,0,95,2,60,3,60,5,80,"{'percent': 70, 'notes': 'Dominant broad-bladed cordgrass (likely S. alterniflora) with visible dark shredded DOM and exposed mud; counts are approximate from visible shells/holes.'}",
MM2_LOW0_25MAY2022_context2,45,80,0,90,0,90,0,95,0,95,0,85,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,25,70,30,85,0,90,0,85,1,50,6,80,70,"Quadrat dominated by live Spartina alterniflora clumps, with exposed mud and filamentous dead organic matter (algal/root detritus). Several periwinkle snails visible; one likely crab burrow observed. Estimates based solely on cropped image; context used only for ID."
MM4_HIGH1_18JULY2022_cropped,45,60,0,20,0,20,0,20,0,20,25,50,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,30,0,20,25,80,5,70,0,95,0,95,0,80,0,90,60,"Image shows dominant green tussocks and finer wiry grasses with substantial dried thatch. No shells, burrows, or snails visible. Spartina alterniflora estimated as main species with a secondary cover of finer Spartina patens; dead organic matter prominent."
MM4_HIGH1_18JULY2022_context2,0,80,25,60,0,80,0,85,0,85,60,65,0,85,0,90,0,90,0,90,0,90,0,90,0,85,0,90,0,90,0,90,0,90,0,90,15,70,0,85,0,95,0,95,0,90,0,95,65,"Quadrat dominated by fine-textured, matted dried grass and green fine blades consistent with Spartina patens (~60%). A dense tuft of upright, wiry brown stems at center/top is interpreted as Juncus roemerianus (~25%). Noticeable dead thatch ~15%. No obvious shells, burrows, or other species present in the cropped area."
MM4_HIGH1_18JULY2022_context2,0,95,55,70,0,95,0,95,0,95,10,40,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,30,80,5,60,0,95,0,95,0,90,0,90,65,"Quadrat dominated by upright, wiry stems consistent with Juncus roemerianus (majority cover). Noticeable dead thatch layer across center (dead organic matter). Some finer, shorter grassy thatch likely Spartina patens but identification uncertain. No visible shells or burrow openings; fauna counts set to zero."
MM4_HIGH1_18JULY2022_cropped,40,60,0,20,0,20,0,20,0,20,20,50,0,20,0,20,0,20,0,20,0,20,0,20,5,30,0,20,0,20,0,20,0,20,0,20,30,70,5,40,0,90,0,90,0,90,0,90,55,Image shows dominant green tussocks and thinner grasses with substantial dead thatch. Assigned majority to S. alterniflora and S. patens with notable dead organic matter; small amount of Distichlis possible. No visible shellfish or burrows.
WC5_LOW0_12MAY2022_context2,35,60,0,90,0,90,0,90,0,90,0,85,0,90,0,90,0,90,0,90,0,90,0,90,0,85,0,90,0,90,0,90,0,95,0,95,40,80,25,80,0,95,0,95,0,95,6,70,65,"Quadrat dominated by grassy blades (identified as low marsh smooth cordgrass with moderate uncertainty), substantial dead leaf litter, and exposed mud. Several periwinkle shells visible on mud/debris (counted = 6). No other plant species, mussels, oysters, or burrows evident inside cropped frame."
WC5_LOW0_12MAY2022_cropped,35,70,0,90,0,90,0,95,0,95,5,40,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,50,80,10,80,0,90,0,90,3,50,7,80,65%,Dominated by live cordgrass (likely S. alterniflora) mixed with large amounts of dead leaf material on mud; small exposed mud patches present. Several periwinkle shells visible; a few small crab burrow openings estimated. Other species not observed.
WC5_LOW0_12MAY2022_cropped,5,60,0,90,0,90,0,95,0,85,31,70,0,95,0,95,0,95,0,95,0,95,0,95,0,85,0,95,0,95,0,95,0,95,0,95,45,80,19,75,0,90,0,90,2,60,7,70,70,Dominant thin green blades (interpreted as Spartina patens) with abundant dead leaf litter (DOM) and patches of exposed mud. Small cluster of periwinkle shells visible; a couple small crab burrow openings seen. Moderate uncertainty due to senesced/mixed blades.
WC5_LOW0_12MAY2022_context2,0,90,0,90,0,90,0,90,0,85,0,90,0,90,0,95,0,95,0,95,0,95,0,95,32,60,0,95,0,95,0,95,0,95,0,95,50,80,18,70,0,95,0,95,1,60,7,70,65,Quadrat dominated by decaying leaf litter (dark detritus) with scattered live narrow-bladed salt grass (identified as Distichlis spicata based on blade form and high-marsh context). Mud patches (bare ground) visible in center. Several periwinkle shells visible on mud; one likely crab burrow opening in center. No oysters/mussels observed. Confidence moderate due to difficulty distinguishing similar high-marsh grasses from photos.
WC5_LOW0_12MAY2022_context2,0,85,0,90,0,90,0,90,0,85,35,70,0,90,0,95,0,95,0,95,0,95,0,95,0,85,0,95,0,95,0,95,0,95,0,95,45,80,20,80,0,95,0,95,0,90,9,70,75,Live cover is dominated by salt-meadow style grass (identified as Spartina patens) with abundant dead thatch and exposed mud. Several periwinkle snail shells (9) visible inside the quadrat; no oysters/mussels/crab burrows evident.
MM3_LOW0_18JUL2022_context2,65,80,0,90,0,90,0,95,0,95,0,90,0,90,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,10,60,25,75,0,95,0,95,3,50,10,55,65,"Quadrat is dominated by broad, flat cordgrass blades identified as Spartina alterniflora. Bare mud and scattered yellowed leaves present. Several small snail shells visible (counted as periwinkles) and a few small circular mud holes counted as crab burrows. Percent cover estimated visually from cropped image only."
MM3_LOW0_18JUL2022_cropped,60,90,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,5,60,35,80,0,90,3,60,4,70,12,60,75,"Quadrat dominated by broad, thick green blades consistent with Spartina alterniflora; ~35% exposed mud, small amount (~5%) of dried leaves/DOM. Several small mussel shells, multiple periwinkle snails and ~4 crab burrows visible."
JP1_LOW0_21JULY2022_cropped,80,85,0,95,0,95,0,95,0,95,0,80,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,99,0,99,10,80,10,85,0,95,0,95,0,90,0,95,80,"Image dominated by broad, bright green, thick grass blades consistent with Spartina alterniflora. Small patches of dark exposed mud and some brown dead leaves present. No other species, shells, or burrow openings clearly visible."
JP1_LOW0_21JULY2022_context2,70,80,0,95,0,95,0,95,0,90,0,95,0,90,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,5,70,25,85,0,95,0,95,0,95,0,95,78,"Quadrat dominated by broad, flat, arching green grass blades consistent with Spartina alterniflora. Dark exposed mud visible in center (bare ground) and small amount of brown litter (dead organic matter). No fauna or other plant types clearly present."
JP1_HIGH0_13MAY2022_context2,5,60,0,95,0,95,0,95,0,95,75,80,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,10,80,10,80,0,95,0,95,0,85,0,95,70,"Quadrat dominated by fine, wiry, light-green blades consistent with Spartina patens. A few broader-bladed green clumps (lower left/center) may be small S. alterniflora or similar; counted conservatively at 5%. Visible patches of exposed mud and dried blades assigned to bare ground and dead organic matter. No obvious rushes, shrubs, or mollusks seen."
JP1_HIGH0_13MAY2022_cropped,10,60,0,50,0,50,0,50,0,50,70,70,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,15,60,5,50,0,80,0,80,0,70,0,80,{'percent': 65},"Dominated by thin, wiry light-green/brown grass consistent with Spartina patens (~70%). A few broader green blades (lower left/center) likely S. alterniflora (~10%). Noticeable dried stems and litter (~15% DOM) and small exposed muddier patches (~5% bare ground). No visible oysters/mussels/periwinkles/crab burrows on DOM or bare patches."
JP1_HIGH0_13MAY2022_context2,15,60,0,90,0,90,0,90,0,85,70,85,0,85,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,95,0,95,10,80,5,80,0,95,0,95,0,95,0,95,75,"Quadrat is dominated by fine, wiry, light-colored grass consistent with Spartina patens (~70%). A few clumps of broader, thicker green blades (lower-left and bottom) likely small Spartina alterniflora patches (~15%), but identification is somewhat uncertain. Visible dead matted material (~10%) and small areas of exposed mud (~5%). No oysters, mussels, periwinkles, or obvious crab burrows observed."
JP1_HIGH0_13MAY2022_context2,8,40,0,90,0,90,0,95,0,90,65,75,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,20,80,7,70,0,95,0,95,1,40,0,95,60,"Quadrat dominated by fine, wiry, matted grass consistent with Spartina patens (~65%). A few broader, bright-green basal leaves (lower left and bottom) likely a thicker cordgrass or smooth cordgrass (assigned 8% to S. alterniflora with low confidence). Noticeable dead thatch and some exposed muddy substrate. One small dark hole possibly a crab burrow (count =1)."
JP2_HIGH0_21JULY2022_cropped,0,75,0,80,0,80,0,80,0,80,70,80,0,80,0,85,0,85,0,85,0,85,0,85,0,80,0,85,0,85,0,85,0,90,0,90,20,75,10,80,0,85,0,85,0,80,0,85,70,"Mostly thin, wiry, dried grass tussocks consistent with Spartina patens; scattered thatch (dead organic matter) and small patches of exposed substrate. No obvious S. alterniflora blades, burrows, oysters, mussels, or periwinkles visible."
JP2_HIGH0_21JULY2022_context2,0,85,0,80,0,85,0,85,0,85,55,80,0,85,0,85,0,90,0,90,0,90,0,90,0,85,0,90,0,90,0,90,0,90,0,90,35,75,10,75,0,90,0,90,0,90,0,90,75,"Quadrat dominated by fine, wiry, matted grass consistent with Spartina patens; many brown thatched blades counted as dead organic matter. Small exposed soil patch ~10%. No obvious rushes, tall cordgrass, forbs, or shell/ snail features visible."
