site,Spartina alterniflora (Smooth Cordgrass)_pct,Spartina alterniflora (Smooth Cordgrass)_conf,Juncus roemerianus (Black Needle Rush)_pct,Juncus roemerianus (Black Needle Rush)_conf,Bolboschoenus robustus (Salt Marsh Bulrush)_pct,Bolboschoenus robustus (Salt Marsh Bulrush)_conf,Iva frutescens (Marsh Elder)_pct,Iva frutescens (Marsh Elder)_conf,Panicum virgatum (Switch Grass)_pct,Panicum virgatum (Switch Grass)_conf,Spartina patens (Salt Meadow Hay)_pct,Spartina patens (Salt Meadow Hay)_conf,Spartina cynosuroides (Big Cordgrass)_pct,Spartina cynosuroides (Big Cordgrass)_conf,Borrichia frutescens (Sea Oxeye)_pct,Borrichia frutescens (Sea Oxeye)_conf,Salicornia spp. (Glasswort)_pct,Salicornia spp. (Glasswort)_conf,Kosteletzkya virginica (Marsh Mallow)_pct,Kosteletzkya virginica (Marsh Mallow)_conf,Hibiscus moscheutos (Marsh Hibiscus)_pct,Hibiscus moscheutos (Marsh Hibiscus)_conf,Solidago sempervirens (Seaside Goldenrod)_pct,Solidago sempervirens (Seaside Goldenrod)_conf,Distichlis spicata (Salt Grass)_pct,Distichlis spicata (Salt Grass)_conf,Limonium carolinianum (Sea Lavender)_pct,Limonium carolinianum (Sea Lavender)_conf,Symphyotrichum tenuifolium (Salt Marsh Aster)_pct,Symphyotrichum tenuifolium (Salt Marsh Aster)_conf,Atriplex patula (Marsh Orach)_pct,Atriplex patula (Marsh Orach)_conf,Phragmites australis (Phragmites or Reed Grass)_pct,Phragmites australis (Phragmites or Reed Grass)_conf,Baccharis halimifolia (Groundsel Tree)_pct,Baccharis halimifolia (Groundsel Tree)_conf,Dead Organic Matter_pct,Dead Organic Matter_conf,Bare Ground_pct,Bare Ground_conf,Oysters_ct,Oysters_conf,Mussels_ct,Mussels_conf,Crab Burrows_ct,Crab Burrows_conf,Periwinkles_ct,Periwinkles_conf,Total_Confidence,Notes
CS05_LOW0_22JUL2022.jpg,88,85,0,90,0,90,0,90,0,90,0,85,0,85,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,12,70,0,80,0,95,0,95,0,90,0,95,80,"Quadrat dominated by dense, upright, thick dark-green blades characteristic of Spartina alterniflora; minor amount of dried brown litter visible. No other species or fauna observed inside the cropped area."
CS04_HIGH1_22JULY2022.jpg,0,90,0,90,0,90,0,90,0,90,75,80,0,90,0,90,0,95,0,95,0,95,0,95,0,85,0,95,0,95,0,95,0,95,0,95,15,85,10,75,0,95,0,95,0,95,0,95,80,"Cropped quadrat dominated by fine, wiry, matted grass consistent with Spartina patens. No upright, thick S. alterniflora stems or other identifiable species visible. Some brown dead thatch and small patches of bare soil; no shellfish or visible crab burrows/periwinkles."
CS04_HIGH1_22JULY2022.jpg,0,85,0,90,0,90,0,90,0,90,75,80,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,20,70,5,65,0,95,0,95,0,95,0,95,75,"Quadrat is dominated by fine, wiry, light-colored matted grass consistent with Spartina patens. No thick, upright dark blades typical of S. alterniflora are evident. Approximately three-quarters of projected area is live S. patens; remaining area is dead grass/thatch and small exposed soil patches. No oysters, mussels, periwinkles, or crab burrows visible in the cropped image."
CS05_LOW1_22JUL2022.jpg,70,85,0,50,0,50,0,50,0,50,10,60,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,5,60,15,90,0,95,0,95,3,60,0,95,75,"Quadrat dominated by broad, flat, upright tufted blades consistent with Spartina alterniflora (majority). Some finer, wiry blades suggest minor Spartina patens. Visible mud between plants (~15%) and small amount of dead blades. A few small circular burrow openings (3) visible."
CS04_LOW1_13MAY2022.JPG,55,70,0,90,0,90,0,95,0,95,10,60,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,30,80,5,60,0,95,0,95,1,50,2,70,70,Quadrat dominated by live cordgrass-like blades (likely S. alterniflora) with some finer wiry leaves consistent with S. patens; substantial dead thatch present and small areas of exposed mud. Two visible snail shells (periwinkles) and one probable crab burrow.
CS04_LOW1_13MAY2022.JPG,40,70,0,90,0,90,0,90,0,90,0,85,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,45,80,15,70,0,95,0,95,0,85,3,60,65,"Quadrat dominated by live Spartina alterniflora blades and a large amount of brown dead thatch; exposed mud/ground visible in gaps. Identified S. alterniflora by flat, relatively broad blades and upright tufts. Three small periwinkle shells visible; no oysters, mussels, or obvious crab burrows detected."
CS02_HIGH1_13MAY2022.JPG,8,60,0,95,0,95,0,95,0,95,87,80,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,5,70,0,85,0,95,0,95,0,95,0,95,75,"Cropped image dominated by fine, wiry, matted grass consistent with Spartina patens (~87%). Small patch of thicker, darker, upright blades at right edge likely Spartina alterniflora (~8%). Minor senesced thatch visible (~5%). No other species or animals detected."
CS03_LOW1_21JULY2022.JPG,35,70,0,90,0,90,0,90,0,90,5,40,0,90,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,10,60,50,80,0,95,0,95,3,60,7,60,65,"Cropped image shows mostly exposed mud with scattered clumped, relatively broad upright grass blades consistent with Spartina alterniflora (dominant). A few finer, wiry blades suggest minor Spartina patens. Several small snail shells (periwinkles) visible near the central clump (~7) and a few small crab burrow openings (~3). Percent cover estimated from projected area in the cropped image; dead litter and bare mud partitioned accordingly."
CS03_HIGH1_21JULY2022.JPG,0,85,0,90,0,90,0,90,0,90,70,85,0,90,5,60,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,95,0,95,15,80,10,75,0,95,0,95,0,95,0,95,75,"Fine, wiry, matted grass dominates the cropped image and matches Spartina patens morphology; a small yellow daisy-like forb (likely Borrichia) occupies a few percent. Visible matted brown material counted as dead organic matter and small bare soil patches in the center counted as bare ground. No mussels/oysters/periwinkles/crab burrows observed."
CS02_HIGH0_21JULY2022.JPG,10,40,0,80,0,80,0,90,0,85,70,85,0,90,0,90,0,95,0,95,0,95,0,95,5,50,0,95,0,95,0,95,0,95,0,95,10,70,5,60,0,90,0,90,0,90,0,90,75,"Quadrat dominated by fine, wiry, matted grass consistent with Spartina patens (~70%). A few thicker/flat blades likely S. alterniflora (~10%) and small amounts of Distichlis (~5). Noticeable thatch = dead organic matter (~10%) and small exposed soil patches (~5%). No oysters/mussels/periwinkles/crab burrows visible."
CS04_HIGH1_13MAY2022.JPG,5,50,0,90,0,90,0,90,0,90,35,70,0,90,0,90,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,55,80,5,60,0,95,0,95,0,95,0,95,65,"Quadrat dominated by matted, brown dead thatch with interspersed wiry light-green blades consistent with Spartina patens; a few broader, upright green blades (small % ) likely S. alterniflora. No obvious oysters, mussels, burrows, or periwinkles visible. Estimates based on cropped image; context image used only for ID."
CS03_LOW1_21JULY2022.JPG,65,85,0,95,0,95,0,95,0,95,5,50,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,7,75,23,85,0,95,0,95,1,60,7,70,78,"Quadrat dominated by smooth cordgrass (upright, relatively broad blades). Some finer/drier blades possibly S. patens. Bare mud visible in center/right. Small cluster (~7) of periwinkle shells on mud; one likely crab burrow. Estimates based on cropped image; context used only for ID."
CS01_LOW1_13MAY2022.jpg,0,15,0,10,0,10,0,10,0,10,50,70,0,10,0,10,0,10,0,10,0,10,0,10,0,15,0,10,0,10,0,10,0,10,0,10,35,85,15,80,0,10,0,10,3,60,3,60,65,"Cropped image dominated by fine, wiry, matted green blades and abundant dead brown thatch consistent with Spartina patens; visible dark mud patches = bare ground. Several small round snail shells and a few small burrow holes visible inside quadrat counted as periwinkles and crab burrows. Percent cover estimated from cropped image only."
CS01_HIGH1_21JULY2022.JPG,70,85,0,90,0,90,0,90,0,90,0,70,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,95,0,95,28,80,2,60,0,95,0,95,0,95,0,95,80,"Dominated by dense, upright, thick green blades consistent with Spartina alterniflora (~70%). Left portion contains old thatch/dead material (~28%) and a very small bare patch (~2%). No conspicuous oysters, mussels, periwinkles, or crab burrows visible inside the cropped quadrat."
CS02_HIGH1_21JULY2022.JPG,0,95,0,95,0,95,0,95,0,95,55,75,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,35,80,10,70,0,95,0,95,1,60,0,95,70,"Quadrat dominated by fine, wiry, light-colored grass consistent with Spartina patens; many brown, matted dead blades counted as Dead Organic Matter. Small central dark hole likely a single crab burrow. No other species, oysters, mussels, or periwinkles visible in the cropped image. Context image used to confirm quadrat location and plant habit."
CS03_LOW1_21JULY2022.JPG,60,70,0,80,0,80,0,80,0,80,10,40,0,80,0,80,0,90,0,90,0,90,0,90,0,80,0,90,0,90,0,90,0,90,0,90,10,60,20,80,0,90,0,90,1,50,6,60,65,Quadrat dominated by clumped cordgrass tussocks (assigned to Spartina alterniflora). Some finer wiry blades suggest minor Spartina patens. Visible bare mud and some dried blades (dead organic matter). Small snail shells (~6) visible near plant bases; one likely crab burrow hole observed.
